star_id,orbital_period,transit_duration,transit_depth,planet_radius,star_radius,star_temp,star_logg,label
TIC 220604303,1.1488,,0.98,,0.984957,3429.0,4.07241,0
TIC 73510019,46.38363,,0.1771,3.22,0.762,,,1
TIC 73510019,46.40651,,0.176,3.35,0.73,4812.0,,1
TIC 12727298,16.56127,,0.109,0.957,0.258,,,1
TIC 12727298,16.563155,,0.101,1.66,0.48,3669.0,,1
TIC 48872108,18.357773,,0.0452,1.74,0.75,4937.0,,1
TIC 48872108,18.3647,,0.0421,2.61,1.22,,,1
TIC 50176048,21.9184,,0.133,3.18,0.72,,,1
TIC 49041158,49.8558,,0.0539,3.29,1.359,,,1
TIC 73355325,4.9818921,,0.0555,2.66,1.04,5849.0,,1
TIC 73355325,4.98049071,,0.041,,1.13733,5234.0,4.27715,1
TIC 73355325,4.981838,,,2.39347065,0.978267,5774.0,4.37,1
TIC 73355325,4.98205,,,2.3,1.01,5594.0,4.382,1
TIC 73355325,4.9815,,0.05902,2.39,0.92,,,1
TIC 48913354,3.3055191,,0.111,1.27,0.35,3430.0,,1
TIC 48913354,3.30524,,0.121,6.6,1.79,,,1
TIC 49040871,1.8361,,0.55,,,,,0
TIC 162786866,14.5444413,,0.268,,,,,1
TIC 437486495,4.30221683,,2.613,,4.08069,7168.62,3.42072,1
TIC 73975747,8.02678456,,0.472,,5.5996,4708.46,,0
TIC 73975747,8.0241306,,0.488,4.42,0.58,3939.0,,0
TIC 73975747,8.02415,,,194.0,6.1,4734.0,2.95,0
TIC 73975747,8.02335,,0.503,86.0,5.13,,,0
TIC 73060581,11.31028,,1.773,18.9,1.44,,,1
TIC 73060581,11.31009,,,130.0,10.0,4793.0,2.37,1
TIC 73060986,16.63311,,,44.0,2.19,5700.0,3.84,1
TIC 73060986,16.63237,,4.33,10.7,0.47,3648.0,,1
TIC 73060986,16.63091654,,4.087,,1.27372,5121.0,4.16342,1
TIC 49166516,1.057171,,0.0204,1.51,1.004,,,1
TIC 437578715,4.377326,,,27.0,1.43,5928.0,4.08,0
TIC 437578715,4.37983009,,3.43,,1.60152,5982.0,4.07039,0
TIC 437578715,4.377339,,3.3397,31.9,1.691,,,0
TIC 437578715,4.3772986,,3.84,16.6,0.78,5102.0,,0
TIC 49980826,0.980414,,,1.58,0.66,4202.0,4.758,1
TIC 49980826,0.98036126,,0.0523,1.44,0.58,3932.0,,1
TIC 49980826,0.97988263,,0.042,,0.701061,4063.0,4.56888,1
TIC 49980826,0.980294,,0.0655,1.81,0.685,,,1
TIC 73827803,14.2005,,0.0856,2.36,0.786,,,1
TIC 287826852,28.8077,,0.853,2.08,0.215,,,1
TIC 50091616,3.75927,,0.361,68.0,10.7,,,1
TIC 204574260,2.41628,,0.0704,2.68,1.01,,,1
TIC 204574260,2.4165066,,0.056,0.988,0.38,3483.0,,1
TIC 204574304,4.4984354,,0.185,3.12,0.66,4309.0,,1
TIC 48960705,0.3938505,,0.0488,13.7,2.16,,,1
TIC 410987459,2.3240489,,15.4,33.4,0.78,5107.0,,1
TIC 52394838,1.86732,,0.00794,0.648,0.693,,,1
TIC 398378460,22.9735,,0.0541,2.61,1.067,,,1
TIC 413551134,5.6683,,6.49,,0.956267,3521.0,4.14993,0
TIC 413941417,14.658196,,0.106,1.6,0.45,3610.0,,1
TIC 413941417,14.65835,,0.1029,1.12,0.339,,,1
TIC 52482964,6.4349,,0.0263,2.47,1.493,,,1
TIC 414150513,4.27065,,0.22,7.6,1.5,,,1
TIC 414150513,7.64309,,0.236,8.0,1.5,,,1
TIC 52897584,16.858,,,5.6,1.07,5957.0,4.351,1
TIC 52897229,2.167697,,0.2228,12.14,2.489,,,1
TIC 414334923,19.2299,,0.0922,1.96,0.612,,,1
TIC 52901037,5.07152,,0.216,3.2,0.426,,,1
TIC 413931133,8.1191,,,57.0,1.2,6040.0,4.32,1
TIC 413931133,16.235,,,11.0,1.2,6040.0,4.32,1
TIC 413931133,24.9922,,,36.0,1.2,6040.0,4.32,0
TIC 12822755,4.20773,,0.0277,1.47,0.834,,,1
TIC 402313506,1.1761477,,0.136,19.3,2.38,,,1
TIC 437700900,27.270191,,,2.5,1.612,6171.0,4.129,1
TIC 262467679,2.475527,,,42.0,1.06,5962.0,4.4,1
TIC 262467679,2.475641,,,5.02277659,0.824753,5257.0,4.49,1
TIC 262467679,2.4756313,,0.0798,2.48,0.81,5239.0,,1
TIC 262467679,2.475573,,0.0898,2.98,0.888,,,1
TIC 240849748,17.7256773,,0.286,15.4613,1.63,6010.0,4.06,1
TIC 240849748,17.7259,,0.3338,23.4,1.752,,,1
TIC 240849748,17.725837,,0.299,6.63,1.11,5971.0,,1
TIC 240849748,17.72507,,,45.0,1.33,6189.0,4.152,1
TIC 335920123,54.169832,,13.6,22.0,0.55,3836.0,,1
TIC 437695245,8.050722,,,1.31,0.83,5502.7,,1
TIC 437695245,8.0516,,0.0303,1.62,0.904,,,1
TIC 437695245,8.0468,,,1.18,,,,1
TIC 240810401,6.79143,,0.0739,1.72,0.609,,,1
TIC 240720796,14.353438,,,2.159584,0.82797,5317.0,4.59,1
TIC 240720796,14.353347,,0.0648,2.19,0.79,5162.0,,1
TIC 240720796,14.3533,,0.0625,2.18,0.855,,,1
TIC 240721474,1.88282,,0.595,2.6,0.257,,,1
TIC 12688638,6.4756,,0.0174,1.85,1.339,,,1
TIC 240627401,2.31803,,0.143,2.34,0.589,,,1
TIC 240627401,2.3181466,,0.157,2.9,0.67,4343.0,,1
TIC 240766738,12.4292,,,1.1126,0.814,5414.0,4.595,0
TIC 240811631,6.37733,,0.0769,0.76,0.262,,,1
